Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,Manual,7550.0,26497.14285714286,large,0.6,470969.0
BMW,7 Series,2009,Sedan,215210.0,3000.0,Diesel,Automatic,16500.0,16554.615384615383,medium,0.9,1029270.0
Volkswagen,Polo,2007,Hatchback,305988.0,1400.0,Diesel,Manual,3250.0,20399.2,large,0.6,202735.0
BMW,5 Series,2014,Sedan,231250.0,2000.0,Diesel,Automatic,18000.0,28906.25,large,0.6,1122840.0
Vaz,2121niva,2004,Minivan,12000.0,1700.0,Petrol,Manual,1800.0,666.6666666666666,low,0.6,112284.0
BMW,5 Series,1998,Sedan,11111.0,2500.0,Petrol,Manual,3200.0,462.9583333333333,low,0.9,199616.0
Nissan,Rare,2014,Hatchback,87100.0,1200.0,Petrol,Manual,7950.0,10887.5,medium,0.6,495921.0
Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,Manual,2999.0,19090.90909090909,large,0.6,187077.62
Honda,CR-V,2002,Universal,275100.0,2000.0,Petrol,Manual,5900.0,13755.0,medium,0.6,368042.0
BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,Automatic,21500.0,25748.0,large,0.6,1341170.0
Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,Manual,12999.0,15250.0,medium,0.9,810877.62
Nissan,Rare,2011,Hatchback,195000.0,1500.0,Diesel,Manual,5250.0,17727.272727272728,medium,0.6,327495.0
Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,Manual,29000.0,10732.896551724138,medium,0.6,1809020.0
Opel,Astra,2010,Hatchback,190000.0,1300.0,Diesel,Manual,6500.0,15833.333333333334,medium,0.6,405470.0
Skoda,Rapid,2016,Universal,116000.0,1598.0,Petrol,Automatic,10300.0,19333.33333333333,large,0.6,642514.0
Volkswagen,Sharan,2006,Minivan,250000.0,2000.0,Diesel,Manual,6900.0,15625.0,medium,0.6,430422.0
Nissan,Qashqai,2015,Crossover,149000.0,1200.0,Petrol,Automatic,12500.0,21285.714285714286,large,0.6,779750.0
Skoda,Superb,2016,Sedan,170000.0,2000.0,Diesel,Automatic,17490.0,28333.33333333333,large,0.6,1091026.2
Toyota,Land Cruiser,2001,SUV,250000.0,4700.0,Metan/Propan,Automatic,9990.0,11904.761904761905,medium,1.5,623176.2000000001
Toyota,Corolla,2006,Universal,256000.0,1400.0,Diesel,Manual,5490.0,16000.0,medium,0.6,342466.2
Mazda,Rare,2002,SUV,255000.0,2000.0,Petrol,Manual,3990.0,12750.0,medium,0.6,248896.2
Chevrolet,Rare,2011,Hatchback,190000.0,1400.0,Plug-in Hybrid,Automatic,9150.0,17272.727272727272,medium,0.6,570777.0
Mercedes,Rare,2019,Crossover,24000.0,3000.0,Petrol,Automatic,51000.0,8000.0,low,0.9,3181380.0
Volkswagen,Passat,2002,Universal,270000.0,1800.0,Petrol,Manual,2550.0,13500.0,medium,0.6,159069.0
Volkswagen,Touareg,2010,SUV,235000.0,3000.0,Diesel,Automatic,20950.0,19583.33333333333,large,0.9,1306861.0
BMW,5 Series,2000,Sedan,254604.0,2500.0,Petrol,Manual,4500.0,11572.90909090909,medium,0.9,280710.0
Renault,Megane,2009,Universal,165000.0,1500.0,Diesel,Manual,4999.0,12692.307692307691,medium,0.6,311837.62
Toyota,C-HR,2017,Crossover,115000.0,1800.0,Hybrid,Automatic,17999.0,23000.0,large,0.6,1122777.62
BMW,7 Series,1998,Sedan,350000.0,3500.0,Petrol,Manual,3990.0,14583.333333333334,medium,1.2,248896.2
Mercedes,E Class,2012,Sedan,150000.0,2500.0,Diesel,Automatic,14490.0,15000.0,medium,0.9,903886.2000000001
Audi,Rare,2018,Hatchback,31091.0,3000.0,Petrol,Automatic,35500.0,7772.75,low,0.9,2214490.0
Renault,Clio,2006,Hatchback,280000.0,1461.0,Diesel,Manual,4299.0,17500.0,medium,0.6,268171.62
Citroen,C3,2012,Hatchback,145000.0,1400.0,Diesel,Automatic,6899.0,14500.0,medium,0.6,430359.62
Audi,A6,1997,Sedan,29800.0,2400.0,Metan/Propan,Manual,2750.0,1192.0,low,0.9,171545.0
Ford,Fusion,2013,Sedan,178000.0,2000.0,Hybrid,Automatic,9290.0,19777.777777777777,large,0.6,579510.2000000001
Toyota,Prius,2014,Sedan,140000.0,800.0,Plug-in Hybrid,Automatic,11200.0,17500.0,medium,0.6,698656.0
Volkswagen,Vento,1993,Sedan,300000.0,1800.0,Petrol,Manual,1700.0,10344.827586206897,medium,0.6,106046.0
