Make,Model,Year,Style,Distance,Engine_capacity,Fuel_type,Transmission,Price_euro,km_year,Dis_rating,Nalog_cof,Price_Ru
27,95,2015,3,149000.0,1200.0,4,0,12500.0,21285.714285714286,0,0.6,779750.0
36,113,2016,10,170000.0,2000.0,0,0,17490.0,28333.33333333333,0,0.6,1091026.2
41,73,2001,9,250000.0,4700.0,3,0,9990.0,11904.761904761905,2,1.5,623176.2000000001
41,44,2006,11,256000.0,1400.0,0,1,5490.0,16000.0,2,0.6,342466.2
22,101,2002,9,255000.0,2000.0,4,1,3990.0,12750.0,2,0.6,248896.2
3,101,2011,4,190000.0,1400.0,5,0,9150.0,17272.727272727272,2,0.6,570777.0
23,101,2019,3,24000.0,3000.0,4,0,51000.0,8000.0,1,0.9,3181380.0
43,88,2002,11,270000.0,1800.0,4,1,2550.0,13500.0,2,0.6,159069.0
43,116,2010,9,235000.0,3000.0,0,0,20950.0,19583.33333333333,0,0.9,1306861.0
2,9,2000,10,254604.0,2500.0,4,1,4500.0,11572.90909090909,2,0.9,280710.0
33,80,2009,11,165000.0,1500.0,0,1,4999.0,12692.307692307691,2,0.6,311837.62
41,32,2017,3,115000.0,1800.0,2,0,17999.0,23000.0,0,0.6,1122777.62
2,12,1998,10,350000.0,3500.0,4,1,3990.0,14583.333333333334,2,1.2,248896.2
23,48,2012,10,150000.0,2500.0,0,0,14490.0,15000.0,2,0.9,903886.2000000001
1,101,2018,4,31091.0,3000.0,4,0,35500.0,7772.75,1,0.9,2214490.0
33,42,2006,4,280000.0,1461.0,0,1,4299.0,17500.0,2,0.6,268171.62
5,34,2012,4,145000.0,1400.0,0,0,6899.0,14500.0,2,0.6,430359.62
1,17,1997,10,29800.0,2400.0,3,1,2750.0,1192.0,1,0.9,171545.0
11,54,2013,10,178000.0,2000.0,2,0,9290.0,19777.777777777777,0,0.6,579510.2000000001
41,92,2014,10,140000.0,800.0,5,0,11200.0,17500.0,2,0.6,698656.0
43,123,1993,10,300000.0,1800.0,4,1,1700.0,10344.827586206897,2,0.6,106046.0
33,101,2017,3,129000.0,1500.0,0,0,10990.0,25800.0,0,0.6,685556.2000000001
20,36,2012,4,193000.0,1800.0,2,0,10950.0,19300.0,0,0.6,683061.0
44,129,2010,9,202000.0,2400.0,0,0,14750.0,16833.333333333332,2,0.9,920105.0
6,101,2013,6,209000.0,1500.0,0,1,5750.0,23222.222222222223,0,0.6,358685.0
14,101,2010,4,145000.0,1400.0,4,1,4750.0,12083.333333333334,2,0.6,296305.0
20,36,2012,4,194000.0,1800.0,2,0,9999.0,19400.0,0,0.6,623737.62
44,130,2008,9,249000.0,2400.0,0,1,11500.0,17785.714285714286,2,0.9,717370.0
14,60,2008,4,142000.0,1100.0,4,1,3499.0,10142.857142857143,1,0.6,218267.62
23,14,2005,4,260000.0,1500.0,3,0,4750.0,15294.117647058823,2,0.6,296305.0
23,31,2002,2,240000.0,2300.0,4,1,3499.0,12000.0,2,0.9,218267.62
16,101,2012,10,120000.0,2200.0,0,0,15999.0,12000.0,2,0.9,998017.62
23,48,2010,10,182000.0,1800.0,4,0,11750.0,15166.666666666666,2,0.6,732965.0
36,85,2005,11,300000.0,2000.0,4,1,4999.0,17647.058823529413,2,0.6,311837.62
28,23,2008,11,310000.0,1300.0,0,1,4850.0,22142.85714285714,0,0.6,302543.0
36,113,2014,10,186000.0,1600.0,0,0,12300.0,23250.0,0,0.6,767274.0
43,101,2011,7,150000.0,2000.0,0,1,12800.0,13636.363636363636,2,0.6,798464.0
23,124,2000,6,258000.0,2200.0,0,0,2999.0,11727.272727272728,2,0.9,187077.62
27,95,2016,3,151000.0,1500.0,0,1,13890.0,25166.666666666668,0,0.6,866458.2000000001
2,9,2018,10,46000.0,2000.0,4,0,27650.0,11500.0,2,0.6,1724807.0
33,80,2010,11,257110.0,1500.0,0,1,4999.0,21425.83333333333,0,0.6,311837.62
11,83,2016,10,167000.0,1500.0,0,1,12990.0,27833.33333333333,0,0.6,810316.2000000001
41,32,2018,3,114000.0,1800.0,2,0,16750.0,28500.0,0,0.6,1044865.0
27,95,2017,3,157600.0,1500.0,0,1,11990.0,31520.0,0,0.6,747936.2000000001
41,24,2014,11,190000.0,1800.0,2,0,8990.0,23750.0,0,0.6,560796.2000000001
41,32,2017,3,119000.0,1800.0,2,0,18790.0,23800.0,0,0.6,1172120.2
29,101,2018,3,145000.0,1500.0,0,0,16790.0,36250.0,0,0.6,1047360.2000000001
33,68,2016,3,150200.0,1500.0,0,0,13450.0,25033.33333333333,0,0.6,839011.0
20,84,2015,9,149000.0,2500.0,2,0,21750.0,21285.714285714286,0,0.9,1356765.0
43,88,2006,10,216000.0,2000.0,4,0,5350.0,13500.0,2,0.6,333733.0
15,101,2016,3,88000.0,1500.0,0,0,15790.0,14666.666666666666,2,0.6,984980.2000000001
43,88,2007,11,320000.0,1600.0,3,1,5999.0,21333.33333333333,0,0.6,374217.62
14,79,2006,4,298000.0,1500.0,0,1,2999.0,18625.0,2,0.6,187077.62
13,41,2017,4,27138.0,1500.0,4,0,13300.0,5427.6,1,0.6,829654.0
33,68,2016,3,140000.0,1500.0,0,0,12400.0,23333.33333333333,0,0.6,773512.0
36,85,2012,10,166000.0,1600.0,0,0,8990.0,16600.0,2,0.6,560796.2000000001
36,113,2009,10,223000.0,2000.0,0,0,8990.0,17153.846153846152,2,0.6,560796.2000000001
41,44,2006,11,198563.0,1400.0,0,0,5350.0,12410.1875,2,0.6,333733.0
44,101,2000,10,202698.0,2800.0,4,0,3999.0,9213.545454545454,1,0.9,249457.62000000002
19,53,2000,9,230000.0,2000.0,0,1,2750.0,10454.545454545454,2,0.6,171545.0
2,9,2018,10,82000.0,2000.0,0,0,34000.0,20500.0,0,0.6,2120920.0
43,88,1995,11,250369.0,1800.0,4,1,2700.0,9272.925925925923,1,0.6,168426.0
18,101,2005,10,250632.0,2000.0,3,1,2690.0,14743.058823529413,2,0.6,167802.2
35,101,1998,1,300000.0,1900.0,0,1,1450.0,12500.0,2,0.6,90451.0
36,50,2012,6,165500.0,1200.0,0,1,5100.0,16550.0,2,0.6,318138.0
25,87,2011,9,248000.0,2000.0,4,0,9900.0,22545.454545454544,0,0.6,617562.0
11,52,2016,11,170000.0,1499.0,0,1,8890.0,28333.33333333333,0,0.6,554558.2000000001
33,80,2008,11,245000.0,1500.0,0,1,3600.0,17500.0,2,0.6,224568.0
13,41,1999,11,290000.0,1500.0,4,1,1800.0,12608.695652173914,2,0.6,112284.0
14,120,2014,3,120000.0,200.0,3,0,12000.0,15000.0,2,0.6,748560.0
33,101,2007,10,211000.0,1400.0,4,1,2900.0,14066.666666666666,2,0.6,180902.0
1,15,2012,10,166700.0,2000.0,4,0,10200.0,16670.0,2,0.6,636276.0
1,101,2016,4,145000.0,1400.0,1,0,16450.0,24166.666666666668,0,0.6,1026151.0
20,36,2014,10,81700.0,1800.0,2,0,12450.0,10212.5,1,0.6,776631.0
41,24,2013,11,142865.0,1400.0,0,1,8700.0,15873.888888888889,2,0.6,542706.0
42,3,2007,10,135865.0,1400.0,4,1,1500.0,9057.666666666666,1,0.6,93570.0
33,62,2013,6,181000.0,1500.0,0,0,7000.0,20111.11111111111,0,0.6,436660.0
36,85,2014,11,155000.0,1400.0,4,0,9700.0,19375.0,0,0.6,605086.0
36,85,2015,10,164000.0,1600.0,0,0,12750.0,23428.571428571428,0,0.6,795345.0
43,101,2010,2,150589.0,1400.0,4,1,7999.0,12549.083333333334,2,0.6,498977.62
11,52,2015,11,152523.0,1500.0,0,0,9300.0,21789.0,0,0.6,580134.0
28,23,2007,11,190000.0,1300.0,0,1,4499.0,12666.666666666666,2,0.6,280647.62
41,26,2014,11,165000.0,2000.0,0,1,15600.0,20625.0,0,0.6,973128.0
2,12,2006,10,260000.0,3000.0,0,0,11000.0,16250.0,2,0.9,686180.0
41,24,2011,4,182251.0,1798.0,2,0,8200.0,16568.272727272728,2,0.6,511516.0
10,101,2008,4,185000.0,1300.0,0,0,3600.0,13214.285714285714,2,0.6,224568.0
3,28,2012,4,187000.0,1300.0,0,1,4600.0,18700.0,2,0.6,286948.0
33,80,2005,10,190000.0,1500.0,0,1,3200.0,11176.470588235294,2,0.6,199616.0
40,101,2005,9,400000.0,2700.0,4,0,5500.0,23529.41176470588,0,0.9,343090.0
43,61,2010,4,225550.0,2000.0,4,0,9650.0,18795.83333333333,2,0.6,601967.0
7,101,2003,4,220000.0,1400.0,4,1,2000.0,11578.947368421052,2,0.6,124760.0
27,21,2003,4,90000.0,1500.0,4,1,1000.0,4736.8421052631575,1,0.6,62380.0
33,62,2013,6,165000.0,1500.0,0,1,7500.0,18333.33333333333,2,0.6,467850.0
13,101,2018,4,36000.0,1500.0,5,0,18499.0,9000.0,1,0.6,1153967.62
41,101,2015,6,102000.0,1800.0,4,0,12500.0,14571.42857142857,2,0.6,779750.0
2,9,2004,10,2899.0,2500.0,4,1,6100.0,161.05555555555554,1,0.9,380518.0
25,87,2003,3,208367.0,2000.0,4,1,4600.0,10966.684210526317,2,0.6,286948.0
43,117,2011,6,168000.0,1400.0,4,1,7999.0,15272.727272727272,2,0.6,498977.62
41,101,2019,4,2500.0,1800.0,5,0,18999.0,833.3333333333334,1,0.6,1185157.62
43,119,2004,5,190000.0,1896.0,0,1,6300.0,10555.555555555557,2,0.6,392994.0
36,85,2011,11,210000.0,1400.0,4,1,6400.0,19090.90909090909,0,0.6,399232.0
21,101,2014,10,160000.0,2000.0,2,0,12200.0,20000.0,0,0.6,761036.0
33,107,2004,11,180000.0,1500.0,0,1,3300.0,10000.0,1,0.6,205854.0
23,101,1984,11,100000.0,2400.0,0,1,1000.0,2631.5789473684213,1,0.9,62380.0
41,74,2007,3,202000.0,2700.0,3,0,14600.0,13466.666666666666,2,0.9,910748.0
43,90,2017,4,170000.0,1422.0,0,1,8200.0,34000.0,0,0.6,511516.0
43,66,2013,10,198000.0,1400.0,2,0,8400.0,22000.0,0,0.6,523992.0
18,103,2004,11,183454.0,1300.0,4,1,2500.0,10191.888888888889,1,0.6,155950.0
2,128,2013,3,104000.0,2979.0,4,0,30900.0,11555.555555555557,2,0.9,1927542.0
41,44,2006,4,119000.0,1600.0,4,0,5700.0,7437.5,1,0.6,355566.0
28,46,2007,4,283000.0,1300.0,0,1,3499.0,18866.666666666668,0,0.6,218267.62
41,24,2017,4,146000.0,1800.0,2,0,11900.0,29200.0,0,0.6,742322.0
27,95,2009,3,202000.0,1990.0,4,1,7100.0,15538.46153846154,2,0.6,442898.0
11,33,2016,5,141000.0,1500.0,0,1,9000.0,23500.0,0,0.6,561420.0
33,80,2013,6,220000.0,1500.0,0,1,5000.0,24444.444444444445,0,0.6,311900.0
33,62,2008,4,232012.0,1500.0,0,1,3700.0,16572.285714285714,2,0.6,230806.0
18,111,2018,9,38999.0,2000.0,0,0,24800.0,9749.75,1,0.6,1547024.0
27,95,2014,3,219000.0,1500.0,0,1,10999.0,27375.0,0,0.6,686117.62
19,53,2007,9,300000.0,2200.0,0,0,9200.0,20000.0,0,0.9,573896.0
22,11,1994,10,300000.0,200.0,3,1,18000.0,10714.285714285714,2,0.6,1122840.0
41,92,2011,4,121000.0,1800.0,2,0,7900.0,11000.0,2,0.6,492802.0
14,79,2004,11,250000.0,1500.0,0,1,4000.0,13888.888888888889,2,0.6,249520.0
41,24,2014,11,200000.0,1390.0,0,1,8600.0,25000.0,0,0.6,536468.0
1,93,2013,9,143000.0,2000.0,4,0,17850.0,15888.888888888889,2,0.6,1113483.0
43,37,2013,11,174000.0,2000.0,0,1,9650.0,19333.33333333333,0,0.6,601967.0
43,61,2009,11,200000.0,1400.0,4,1,4800.0,15384.615384615385,2,0.6,299424.0
27,95,2007,3,137660.0,1500.0,0,1,6600.0,9177.333333333334,1,0.6,411708.0
28,23,2011,11,213548.0,1300.0,0,1,5650.0,19413.454545454544,0,0.6,352447.0
41,131,2006,10,193096.0,1500.0,4,1,3700.0,12068.5,2,0.6,230806.0
28,101,1992,2,400000.0,2000.0,3,1,1600.0,13333.333333333334,2,0.6,99808.0
33,68,2016,3,150425.0,1500.0,0,0,14990.0,25070.83333333333,0,0.6,935076.2000000001
11,54,2018,10,105000.0,2000.0,2,0,15000.0,26250.0,0,0.6,935700.0
43,88,2000,1,191000.0,1800.0,3,0,3850.0,8681.818181818182,1,0.6,240163.0
33,42,1998,4,129448.0,1600.0,4,0,2399.0,5393.666666666667,1,0.6,149649.62
33,101,2015,6,168000.0,1600.0,0,0,18650.0,24000.0,0,0.6,1163387.0
2,6,1994,10,180000.0,1600.0,4,1,2400.0,6428.571428571428,1,0.6,149712.0
36,101,2015,3,150000.0,1400.0,4,0,11000.0,21428.571428571428,0,0.6,686180.0
19,101,2007,9,223000.0,2700.0,0,0,15000.0,14866.666666666666,2,0.9,935700.0
43,109,2011,11,141000.0,1400.0,4,1,9800.0,12818.181818181818,2,0.6,611324.0
43,88,2003,10,250000.0,1922.0,0,0,4600.0,13157.894736842103,2,0.6,286948.0
23,48,2006,10,250000.0,2200.0,0,0,9999.0,15625.0,2,0.9,623737.62
28,23,2011,11,176000.0,1300.0,0,1,6000.0,16000.0,2,0.6,374280.0
33,62,2014,11,167000.0,1500.0,0,0,8600.0,20875.0,0,0.6,536468.0
2,12,2008,10,387000.0,300.0,4,0,12000.0,27642.85714285714,0,0.6,748560.0
2,12,2011,10,180000.0,2999.0,0,0,22000.0,16363.636363636364,2,0.9,1372360.0
29,101,2006,6,170000.0,2000.0,0,0,2000.0,10625.0,2,0.6,124760.0
13,35,2013,9,178500.0,2200.0,0,1,15700.0,19833.33333333333,0,0.9,979366.0
36,113,2012,10,265000.0,1800.0,4,0,8999.0,26500.0,0,0.6,561357.62
23,48,2002,10,331200.0,2200.0,0,0,6399.0,16560.0,2,0.9,399169.62
36,113,2017,10,120000.0,1999.0,4,0,23900.0,24000.0,0,0.6,1490882.0
43,66,2013,10,110000.0,1400.0,2,0,8000.0,12222.222222222224,2,0.6,499040.0
14,133,2010,7,190000.0,2000.0,0,0,12000.0,15833.333333333334,2,0.6,748560.0
41,101,2014,4,144947.0,1496.0,2,0,7499.0,18118.375,2,0.6,467787.62
33,62,2012,11,180000.0,1500.0,0,1,7499.0,18000.0,2,0.6,467787.62
2,127,2012,9,157000.0,3000.0,4,0,17499.0,15700.0,2,0.9,1091587.62
33,114,2016,10,151130.0,1500.0,0,1,12499.0,25188.33333333333,0,0.6,779687.62
33,80,2006,11,170000.0,2000.0,3,1,2900.0,10625.0,2,0.6,180902.0
27,67,2011,9,155000.0,1600.0,4,0,9300.0,14090.90909090909,2,0.6,580134.0
39,101,2011,4,116000.0,1400.0,0,0,7300.0,10545.454545454546,2,0.6,455374.0
6,76,2007,10,185000.0,1500.0,0,1,3400.0,12333.333333333334,2,0.6,212092.0
27,125,2015,9,124000.0,1600.0,0,0,13000.0,17714.285714285714,2,0.6,810940.0
23,31,2015,11,222000.0,2000.0,5,0,17500.0,31714.285714285717,0,0.6,1091650.0
41,102,2016,3,133494.0,2494.0,2,0,21500.0,22249.0,0,0.9,1341170.0
23,104,2001,10,250830.0,4000.0,0,0,4700.0,11944.285714285714,2,1.2,293186.0
31,101,2016,10,150000.0,1596.0,3,1,3200.0,25000.0,0,0.6,199616.0
35,64,2011,11,190000.0,1200.0,0,1,5100.0,17272.727272727272,2,0.6,318138.0
